Lap_Time,Driver,Track_Name,Vehicle_Name
52.0,unknown,Adams Motorsports Park,Chevrolet Camaro SS
53.4,unknown,Adams Motorsports Park,Honda Fit Sport
50.8,unknown,Adams Motorsports Park,Mazda 3 MPS (Mk II)
50.6,unknown,Adams Motorsports Park,VW Golf GTI (Mk VI 200 HP)
112.7,Boris Shulmeister,Adm Miachkovo,911 Carrera 4S Cabriolet
109.73,unknown,Adm Miachkovo,Audi R8 V10 5.2 FSI (Mk I)
117.8,unknown,Adm Miachkovo,Audi S4 (B8)
120.99,Kirill Ladygin,Adm Miachkovo,Audi TT 3.2 quattro (Mk II)
120.99,unknown,Adm Miachkovo,Audi TT Roadster 3.2 (Mk II)
113.9,Boris Shulmeister,Adm Miachkovo,BMW  M6 Cabrio (F12)
116.27,unknown,Adm Miachkovo,BMW M3 (E92)
118.83,unknown,Adm Miachkovo,BMW M3 Cabrio (E93)
122.17,unknown,Adm Miachkovo,BMW Z4 3.0si Coupe
120.9,unknown,Adm Miachkovo,Caterham 7 CSR 200
110.02,Oleg Kesselman,Adm Miachkovo,Ferrari 458 Italia
126.3,unknown,Adm Miachkovo,Ford Fiesta ST
130.2,unknown,Adm Miachkovo,Ford Focus RS
122.4,Oleg Kesselman,Adm Miachkovo,Ford Focus ST
123.69,Alexey Krasnoglazov,Adm Miachkovo,Honda Civic Type-R (EP3)
127.29,unknown,Adm Miachkovo,Honda Civic Type-R (FN2)
116.3,Boris Shulmeister,Adm Miachkovo,Jaguar F-Type V8 S
109.8,unknown,Adm Miachkovo,Lamborghini Gallardo SE
116.6,unknown,Adm Miachkovo,Lancer Evo X MR TC-SST
132.5,unknown,Adm Miachkovo,Mazda 3 MPS (Mk II)
128.17,unknown,Adm Miachkovo,Mazda MX-5 2.0 (Mk III)
116.62,unknown,Adm Miachkovo,Mercedes-Benz C 63 AMG
115.0,unknown,Adm Miachkovo,Mercedes-Benz SL 63 AMG
122.7,unknown,Adm Miachkovo,Mini Cooper S (Mk II)
116.8,unknown,Adm Miachkovo,Mitsubishi Lancer EVO IX
117.4,unknown,Adm Miachkovo,Mitsubishi Lancer Evo X
121.54,unknown,Adm Miachkovo,Nissan 350Z (313 PS)
109.16,unknown,Adm Miachkovo,Nissan GT-R (R35)
119.7,Oleg Kesselman,Adm Miachkovo,Opel Astra OPC 2012
125.47,unknown,Adm Miachkovo,Opel Corsa OPC (D)
122.0,Oleg Kesselman,Adm Miachkovo,Peugeot RCZ GT THP200
108.77,Oleg Kesselman,Adm Miachkovo,Porsche 911 Turbo
110.65,unknown,Adm Miachkovo,Porsche 911 Turbo (997)
109.09,Oleg Kesselman,Adm Miachkovo,Porsche 911 Turbo S
119.15,unknown,Adm Miachkovo,Porsche Cayman S (987)
123.6,unknown,Adm Miachkovo,Renault Clio RS III Cup
121.6,Oleg Kesselman,Adm Miachkovo,Renault Megane RS (Mk III)
124.05,F. Dikarev,Adm Miachkovo,Skoda Fabia RS (Mk II)
122.4,Oleg Kesselman,Adm Miachkovo,Subaru BRZ
117.1,unknown,Adm Miachkovo,Subaru Impreza WRX STI (2.5)
123.0,Scherbatkin  Slava,Adm Miachkovo,Toyota Celica S
122.2,Oleg Kesselman,Adm Miachkovo,Toyota GT86
119.6,Alexei Kurilkin,Adm Miachkovo,VW Golf R32 (Mk V)
126.82,unknown,Adm Miachkovo,Volvo C30 T5
90.0,Karl Wendlinger,Adria,8C Competizione Spider
94.36,Karl Wendlinger,Adria,Audi RS3 Sportback (8P)
94.95,Karl Wendlinger,Adria,BMW 1 Series M Coupe
95.13,Karl Wendlinger,Adria,Bentley Continental GT (Mk II)
91.35,Karl Wendlinger,Adria,C63 AMG Coupe  Pac..
95.13,Karl Wendlinger,Adria,Chevrolet Camaro SS
83.21,Karl Wendlinger,Adria,Ferrari 458 Italia
90.2,Karl Wendlinger,Adria,GranTurismo MC Stradale
87.05,Karl Wendlinger,Adria,KTM X-Bow R
92.0,Karl Wendlinger,Adria,Lotus Evora S
85.0,Karl Wendlinger,Adria,Porsche 911 GT3 RS 4.0 (997)
92.59,Karl Wendlinger,Adria,Porsche Cayman R (987)
91.98,mattipuh,Alastaro Circuit,Toyota GR Yaris (Mk IV)
82.31,Kimi Räikkönen,Albert Park,Alfa Romeo C38
82.43,Antonio Giovinazzi,Albert Park,Alfa Romeo C38
79.25,Valtteri Bottas,Albert Park,Alfa Romeo C42
79.91,Zhou Guanyu,Albert Park,Alfa Romeo C42
79.23,Pierre Gasly,Albert Park,AlphaTauri AT03
79.42,Yuki Tsunoda,Albert Park,AlphaTauri AT03
78.81,Fernando Alonso,Albert Park,Alpine A522
79.06,Esteban Ocon,Albert Park,Alpine A522
81.15,Sebastian Vettel,Albert Park,Aston Martin AMR22
83.59,Lance Stroll,Albert Park,Aston Martin AMR22
77.87,Charles Leclerc,Albert Park,Ferrari F1-75
78.47,Carlos Sainz,Albert Park,Ferrari F1-75
84.67,Sebastian Vettel,Albert Park,Ferrari SF16-H
85.03,Kimi Raikkonen,Albert Park,Ferrari SF16-H
82.46,Sebastian Vettel,Albert Park,Ferrari SF70H
83.03,Kimi Raikkonen,Albert Park,Ferrari SF70H
81.83,Kimi Raikkonen,Albert Park,Ferrari SF71H
81.84,Sebastian Vettel,Albert Park,Ferrari SF71H
81.19,Sebastian Vettel,Albert Park,Ferrari SF90
81.44,Charles Leclerc,Albert Park,Ferrari SF90
85.75,Sergio Perez,Albert Park,Force India VJM09
85.86,Nico Hulkenberg,Albert Park,Force India VJM09
85.08,Sergio Perez,Albert Park,Force India VJM10
85.57,Esteban Ocon,Albert Park,Force India VJM10
84.0,Sergio Perez,Albert Park,Force India VJM11
84.79,Esteban Ocon,Albert Park,Force India VJM11
88.32,Romain Grosjean,Albert Park,Haas VF-16
89.6,Esteban Gutierrez,Albert Park,Haas VF-16
84.07,Romain Grosjean,Albert Park,Haas VF-17
86.85,Kevin Magnussen,Albert Park,Haas VF-17
83.19,Kevin Magnussen,Albert Park,Haas VF-18
83.34,Romain Grosjean,Albert Park,Haas VF-18
81.82,Romain Grosjean,Albert Park,Haas VF-19
82.1,Kevin Magnussen,Albert Park,Haas VF-19
80.1,Mick Schumacher,Albert Park,Haas VF-22
80.25,Kevin Magnussen,Albert Park,Haas VF-22
89.63,Rio Haryanto,Albert Park,Manor MRT05
89.64,Pascal Wehrlein,Albert Park,Manor MRT05
85.42,Fernando Alonso,Albert Park,McLaren MCL32
86.86,Stoffel Vandoorne,Albert Park,McLaren MCL32
83.69,Fernando Alonso,Albert Park,McLaren MCL33
84.85,Stoffel Vandoorne,Albert Park,McLaren MCL33
82.3,Lando Norris,Albert Park,McLaren MCL34
83.08,Carlos Sainz,Albert Park,McLaren MCL34
78.7,Lando Norris,Albert Park,McLaren MCL36
79.03,Daniel Ricciardo,Albert Park,McLaren MCL36
86.12,Fernando Alonso,Albert Park,McLaren MP4-31
86.3,Jenson Button,Albert Park,McLaren MP4-31
83.84,Lewis Hamilton,Albert Park,Mercedes-Benz F1 W07 Hybrid
84.2,Nico Rosberg,Albert Park,Mercedes-Benz F1 W07 Hybrid
82.19,Lewis Hamilton,Albert Park,Mercedes-Benz W08
82.48,Valtteri Bottas,Albert Park,Mercedes-Benz W08
81.16,Lewis Hamilton,Albert Park,Mercedes-Benz W09
87.02,Valtteri Bottas,Albert Park,Mercedes-Benz W09
80.49,Lewis Hamilton,Albert Park,Mercedes-Benz W10 EQ Power+
80.6,Valtteri Bottas,Albert Park,Mercedes-Benz W10 EQ Power+
82.53,Sergio Perez,Albert Park,Racing Point RP19
83.02,Lance Stroll,Albert Park,Racing Point RP19
85.43,Max Verstappen,Albert Park,Red Bull RB12
85.59,Daniel Ricciardo,Albert Park,Red Bull RB12
83.48,Max Verstappen,Albert Park,Red Bull RB13
89.45,Daniel Ricciardo,Albert Park,Red Bull RB13
81.88,Max Verstappen,Albert Park,Red Bull RB14
82.15,Daniel Ricciardo,Albert Park,Red Bull RB14
81.32,Max Verstappen,Albert Park,Red Bull RB15
83.02,Pierre Gasly,Albert Park,Red Bull RB15
88.19,Alexander Albon,Albert Park,Red Bull RB15
78.15,Max Verstappen,Albert Park,Red Bull RB18
78.24,Sergio Pérez,Albert Park,Red Bull RB18
87.24,Jolyon Palmer,Albert Park,Renault RS16
87.3,Kevin Magnussen,Albert Park,Renault RS16
85.09,Nico Hulkenberg,Albert Park,Renault RS17
87.68,Carlos Sainz,Albert Park,Renault RS17
88.24,Jolyon Palmer,Albert Park,Renault RS17
83.53,Nico Hulkenberg,Albert Park,Renault RS18
83.58,Carlos Sainz,Albert Park,Renault RS18
82.54,Nico Hulkenberg,Albert Park,Renault RS19
82.57,Daniel Ricciardo,Albert Park,Renault RS19
87.43,Marcus Ericsson,Albert Park,Sauber C35
87.96,Felipe Nasr,Albert Park,Sauber C35
86.42,Antonio Giovinazzi,Albert Park,Sauber C36
86.46,Marcus Ericsson,Albert Park,Sauber C36
84.56,Marcus Ericsson,Albert Park,Sauber C37
84.64,Charles Leclerc,Albert Park,Sauber C37
85.38,Carlos Sainz,Albert Park,Toro Rosso STR11
88.01,Daniil Kvyat,Albert Park,Toro Rosso STR11
84.49,Carlos Sainz,Albert Park,Toro Rosso STR12
84.51,Daniil Kvyat,Albert Park,Toro Rosso STR12
84.53,Brendon Hartley,Albert Park,Toro Rosso STR13
85.29,Pierre Gasly,Albert Park,Toro Rosso STR13
82.51,Daniil Kvyat,Albert Park,Toro Rosso STR14
82.64,Alexander Albon,Albert Park,Toro Rosso STR14
87.23,Pierre Gasly,Albert Park,Toro Rosso STR14
78.82,Lewis Hamilton,Albert Park,W13 E 
78.93,George Russell,Albert Park,W13 E 
85.46,Felipe Massa,Albert Park,Williams FW38
85.96,Valtteri Bottas,Albert Park,Williams FW38
84.44,Felipe Massa,Albert Park,Williams FW40
87.14,Lance Stroll,Albert Park,Williams FW40
84.23,Lance Stroll,Albert Park,Williams FW41
84.92,Sergey Sirotkin,Albert Park,Williams FW41
84.36,George Russell,Albert Park,Williams FW42
86.07,Robert Kubica,Albert Park,Williams FW42
80.13,Alexander Albon,Albert Park,Williams FW44
81.37,Nicholas Latifi,Albert Park,Williams FW44
68.9,unknown,Aldo Scribante,Audi R8 V10 
71.8,unknown,Aldo Scribante,Audi RS6 Avant (C8)
69.2,unknown,Aldo Scribante,BMW M4 Competition Coupe
69.8,unknown,Aldo Scribante,BMW M5 Competition (F90)
70.0,unknown,Aldo Scribante,E 63 AMG S 4Matic+
72.5,unknown,Aldo Scribante,GLE 63s Coupe EQ Boost 4MATIC+
73.7,unknown,Aldo Scribante,Hyundai Kona N
74.3,unknown,Aldo Scribante,Jaguar F-Pace SVR
73.5,unknown,Aldo Scribante,Toyota GR Yaris (Mk IV)
74.1,unknown,Aldo Scribante,VW Golf GTI (Mk VIII)
114.7,Peter Söderberg,Algarve International Circuit (Short),McLaren 675LT
116.76,unknown,Algarve International Circuit (Short),Porsche 911 GT3 RS (991)
78.2,Kimi Räikkönen,Algarve International Circuit Portimao (Grand Prix),Alfa Romeo C39
78.32,Antonio Giovinazzi,Algarve International Circuit Portimao (Grand Prix),Alfa Romeo C39
79.22,Antonio Giovinazzi,Algarve International Circuit Portimao (Grand Prix),Alfa Romeo C41
79.75,Kimi Räikkönen,Algarve International Circuit Portimao (Grand Prix),Alfa Romeo C41
77.21,Pierre Gasly,Algarve International Circuit Portimao (Grand Prix),AlphaTauri AT01
77.73,Daniil Kvyat,Algarve International Circuit Portimao (Grand Prix),AlphaTauri AT01
79.05,Pierre Gasly,Algarve International Circuit Portimao (Grand Prix),AlphaTauri AT02
79.46,Yuki Tsunoda,Algarve International Circuit Portimao (Grand Prix),AlphaTauri AT02
78.59,Esteban Ocon,Algarve International Circuit Portimao (Grand Prix),Alpine A521
79.46,Fernando Alonso,Algarve International Circuit Portimao (Grand Prix),Alpine A521
78.97,Sebastian Vettel,Algarve International Circuit Portimao (Grand Prix),Aston Martin AMR21
79.91,Lance Stroll,Algarve International Circuit Portimao (Grand Prix),Aston Martin AMR21
128.4,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Aston Martin V12 Vantage S
123.66,Pedro Faustino,Algarve International Circuit Portimao (Grand Prix),BMW M2 Competition (F87)
130.7,Chris Harris,Algarve International Circuit Portimao (Grand Prix),BMW M3 (F80)
94.27,unknown,Algarve International Circuit Portimao (Grand Prix),Dallara P217
118.2,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Ferrari 458 Speciale
119.0,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Ferrari F12 Berlinetta
114.25,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Ferrari LaFerrari
114.4,Jérôme d'Ambrosio,Algarve International Circuit Portimao (Grand Prix),Ferrari LaFerrari
77.09,Charles Leclerc,Algarve International Circuit Portimao (Grand Prix),Ferrari SF1000
77.45,Sebastian Vettel,Algarve International Circuit Portimao (Grand Prix),Ferrari SF1000
78.77,Charles Leclerc,Algarve International Circuit Portimao (Grand Prix),Ferrari SF21
78.81,Carlos Sainz,Algarve International Circuit Portimao (Grand Prix),Ferrari SF21
78.36,Romain Grosjean,Algarve International Circuit Portimao (Grand Prix),Haas VF-20
78.51,Kevin Magnussen,Algarve International Circuit Portimao (Grand Prix),Haas VF-20
80.45,Mick Schumacher,Algarve International Circuit Portimao (Grand Prix),Haas VF-21
80.91,Nikita Mazepin,Algarve International Circuit Portimao (Grand Prix),Haas VF-21
116.75,Iván Fiestas,Algarve International Circuit Portimao (Grand Prix),KTM X-Bow
114.75,Chris Harris,Algarve International Circuit Portimao (Grand Prix),McLaren 720S
77.18,Carlos Sainz,Algarve International Circuit Portimao (Grand Prix),McLaren MCL35
77.32,Lando Norris,Algarve International Circuit Portimao (Grand Prix),McLaren MCL35
78.48,Lando Norris,Algarve International Circuit Portimao (Grand Prix),McLaren MCL35M
79.84,Daniel Ricciardo,Algarve International Circuit Portimao (Grand Prix),McLaren MCL35M
111.78,Chris Harris,Algarve International Circuit Portimao (Grand Prix),McLaren P1
115.5,Jérôme d'Ambrosio,Algarve International Circuit Portimao (Grand Prix),McLaren P1
92.85,unknown,Algarve International Circuit Portimao (Grand Prix),Oreca 07
123.02,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Porsche 911 GT3 (991)
117.84,unknown,Algarve International Circuit Portimao (Grand Prix),Porsche 911 GT3 RS (991)
113.98,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Porsche 918 Spyder
114.2,Jérôme d'Ambrosio,Algarve International Circuit Portimao (Grand Prix),Porsche 918 Spyder
123.88,Walter Rohrl,Algarve International Circuit Portimao (Grand Prix),Porsche Cayman GT4 (981)
77.13,Sergio Perez,Algarve International Circuit Portimao (Grand Prix),Racing Point RP20
77.63,Lance Stroll,Algarve International Circuit Portimao (Grand Prix),Racing Point RP20
76.88,Max Verstappen,Algarve International Circuit Portimao (Grand Prix),Red Bull RB16
77.41,Alexander Albon,Algarve International Circuit Portimao (Grand Prix),Red Bull RB16
78.65,Max Verstappen,Algarve International Circuit Portimao (Grand Prix),Red Bull RB16B
78.84,Sergio Pérez,Algarve International Circuit Portimao (Grand Prix),Red Bull RB16B
130.2,Chris Harris,Algarve International Circuit Portimao (Grand Prix),Renault Megane RS 275 Trophy R
77.48,Daniel Ricciardo,Algarve International Circuit Portimao (Grand Prix),Renault RS20
77.61,Esteban Ocon,Algarve International Circuit Portimao (Grand Prix),Renault RS20
76.47,Valtteri Bottas,Algarve International Circuit Portimao (Grand Prix),W11 EQ 
76.65,Lewis Hamilton,Algarve International Circuit Portimao (Grand Prix),W11 EQ 
77.97,Lewis Hamilton,Algarve International Circuit Portimao (Grand Prix),W12 E 
78.35,Valtteri Bottas,Algarve International Circuit Portimao (Grand Prix),W12 E 
126.05,Ivor Kenneil,Algarve International Circuit Portimao (Grand Prix),Westfield Megablade
77.79,George Russell,Algarve International Circuit Portimao (Grand Prix),Williams FW43
78.78,Nicholas Latifi,Algarve International Circuit Portimao (Grand Prix),Williams FW43
79.11,George Russell,Algarve International Circuit Portimao (Grand Prix),Williams FW43B
80.28,Nicholas Latifi,Algarve International Circuit Portimao (Grand Prix),Williams FW43B
93.26,unknown,Algarve International Circuit Portimao (Grand Prix),ligier JS P217
85.8,unknown,Ams Driving Center Gross Dolln,Audi R8 V10 5.2 FSI Plus
93.6,Guido Naumann,Ams Driving Center Gross Dolln,Audi TT 2.0 TFSI (facelift)
90.9,Guido Naumann,Ams Driving Center Gross Dolln,Audi TT 2.0 TFSI quattro
89.57,Guido Naumann,Ams Driving Center Gross Dolln,BMW M135i (F20)
88.03,Guido Naumann,Ams Driving Center Gross Dolln,BMW M135i xDrive (F20)
90.72,unknown,Ams Driving Center Gross Dolln,Jaguar F-Type V6 S
83.81,unknown,Ams Driving Center Gross Dolln,McLaren MP4-12C (625 PS)
89.13,unknown,Ams Driving Center Gross Dolln,Mercedes-Benz A 45 AMG
83.86,unknown,Ams Driving Center Gross Dolln,Nissan GT-R (R35 550 PS)
87.3,unknown,Ams Driving Center Gross Dolln,Nissan GT-R (R35)
83.21,Guido Naumann,Ams Driving Center Gross Dolln,Porsche 911 Carrera 4S (991)
82.1,Guido Naumann,Ams Driving Center Gross Dolln,Porsche 911 Carrera S (991)
87.9,unknown,Ams Driving Center Gross Dolln,Porsche 911 Turbo
86.9,unknown,Ams Driving Center Gross Dolln,Porsche Boxster S (981)
81.64,unknown,Ams Driving Center Gross Dolln,Radical SR3 SL (road-legal)
92.56,unknown,Ams Driving Center Gross Dolln,VW Golf GTI (Mk VII 230 PS)
55.93,Vicki Butler Henderson,Anglesey,Alfa Romeo GT 3.2 V6
57.6,unknown,Anglesey,Audi A3 1.8T (8L)
54.84,Tiff Needell,Anglesey,Audi TT Quattro Sport (Mk I)
56.4,Martin Brundle,Anglesey,BMW 120d
56.97,Tiff Needell,Anglesey,BMW M3 (E30)
52.8,Tiff Needell,Anglesey,BMW M3 (E46)
50.8,Tiff Needell,Anglesey,BMW M3 CSL (E46)
53.03,Tiff Needell,Anglesey,BMW Z4 3.0si
49.8,unknown,Anglesey,Caterham 7 CSR 260
56.8,unknown,Anglesey,Citroen Saxo VTS
55.39,Jason Plato,Anglesey,Ford Fiesta ST
54.6,Tiff Needell,Anglesey,Ford Focus RS
59.06,Tiff Needell,Anglesey,Ford Focus ST
50.55,Martin Brundle,Anglesey,Ford GT (Mk I)
54.29,unknown,Anglesey,Honda Civic Type R
54.98,Tiff Needell,Anglesey,Jaguar XJR
53.17,Vicki Butler Henderson,Anglesey,Lancer Evo IX FQ-320
52.48,Vicki Butler Henderson,Anglesey,Lancer Evo VIII FQ-400
56.74,Tiff Needell,Anglesey,Lancia Delta HF Integrale 16v
52.24,Martin Brundle,Anglesey,Lotus Elise 111R
52.78,Vicki Butler Henderson,Anglesey,Lotus Exige 240R
56.21,Martin Brundle,Anglesey,MG ZT 260
55.53,Vicki Butler Henderson,Anglesey,Mazda RX-8
54.44,Martin Brundle,Anglesey,Mercedes-Benz CL 63 AMG
53.81,Tiff Needell,Anglesey,Mercedes-Benz CLS 55 AMG
56.37,Tiff Needell,Anglesey,Mini Cooper S Convertible
55.69,Tiff Needell,Anglesey,Mitsubishi Colt CZT
52.93,Vicki Butler Henderson,Anglesey,Mitsubishi Lancer Evo VI
53.35,unknown,Anglesey,Morgan Roadster V6 lightweight
48.82,Tiff Needell,Anglesey,Mosler MT900S Photon
53.19,Tiff Needell,Anglesey,Nissan 350Z (287 PS)
48.83,Martin Brundle,Anglesey,Noble M400
54.86,Tiff Needell,Anglesey,Opel Astra OPC
57.2,unknown,Anglesey,Peugeot 106 GTi/S16
56.9,unknown,Anglesey,Peugeot 306 GTi-6
51.05,Tiff Needell,Anglesey,Porsche 911 Carrera S (997)
52.55,unknown,Anglesey,Porsche Boxster S (987 280 PS)
58.4,unknown,Anglesey,Proton Satria GTi
54.49,Tiff Needell,Anglesey,Renault Clio 182
56.0,Tiff Needell,Anglesey,Seat Leon Cupra R
50.15,unknown,Anglesey,TVR Sagaris
51.96,Tiff Needell,Anglesey,Vauxhall VX220 Turbo
77.5,Tiff Needell,Anglesey Coastal,911 Carrera S Cabriolet
76.3,Steve Sutcliffe,Anglesey Coastal,Alfa Romeo Giulia GTAm
78.0,unknown,Anglesey Coastal,Alfa Romeo Giulia GTAm
84.2,Tiff Needell,Anglesey Coastal,Alpina D3 Biturbo
86.22,Vicky Butler-Henderson,Anglesey Coastal,Alpina D3 Biturbo Touring
77.4,unknown,Anglesey Coastal,Ariel Atom 3 (300 PS)
74.8,unknown,Anglesey Coastal,Ariel Atom 4 (324 PS)
82.59,unknown,Anglesey Coastal,Aston Martin V8 Vantage S
76.0,unknown,Anglesey Coastal,Aston Martin Vantage GT12
76.2,Chris Harris,Anglesey Coastal,Audi R8 V10 5.2 FSI Plus
78.2,unknown,Anglesey Coastal,Audi R8 V10 RWS (Mk II)
82.2,Jason Plato,Anglesey Coastal,Audi RS6 (C6)
84.3,unknown,Anglesey Coastal,Audi S4 (B8)
85.88,Vicky Butler-Henderson,Anglesey Coastal,Audi TT Coupe 2.0 TFSI
79.9,Jethro Bovingdon,Anglesey Coastal,Audi TT-S Coupe (Mk III)
67.7,unknown,Anglesey Coastal,BAC Mono 2.5
66.94,Steve Sutcliffe,Anglesey Coastal,BAC Mono R
75.7,drM,Anglesey Coastal,BMW M3 (E46)
76.4,L D Taylor,Anglesey Coastal,BMW M3 (E46)
78.6,unknown,Anglesey Coastal,BMW M3 Competition
79.2,Marino Franchitti,Anglesey Coastal,BMW M4
78.58,Andy Wallace,Anglesey Coastal,BMW M5 (F10)
79.7,Marino Franchitti,Anglesey Coastal,BMW M5 Competition (F10)
77.22,Andy Wallace,Anglesey Coastal,BMW M6 (F13)
88.4,Vicki Butler Henderson,Anglesey Coastal,BMW X5 4.8i E70
86.5,Jason Plato,Anglesey Coastal,BMW Z4 sDrive35i
72.3,unknown,Anglesey Coastal,Caterham 420 Cup
79.7,unknown,Anglesey Coastal,Caterham 7 CSR 260
77.3,unknown,Anglesey Coastal,Caterham R500
86.0,unknown,Anglesey Coastal,Caterham Seven 170R
84.5,Tiff Needell,Anglesey Coastal,Chevrolet Camaro SS
75.6,unknown,Anglesey Coastal,Chevrolet Corvette Stingray
93.6,Tiff Needell,Anglesey Coastal,Citroen DS3 HDI 110 FAP
85.7,Jason Plato,Anglesey Coastal,Citroen DS3 THP 150
85.2,Tiff Needell,Anglesey Coastal,Dodge Challenger SRT-8
74.2,unknown,Anglesey Coastal,Ferrari 458 Speciale
72.8,unknown,Anglesey Coastal,Ferrari 488 GTB
70.8,unknown,Anglesey Coastal,Ferrari 488 Pista
73.6,unknown,Anglesey Coastal,Ferrari 812 Superfast
72.1,Jethro Bovington,Anglesey Coastal,Ferrari LaFerrari
69.99,Steve Sutcliffe,Anglesey Coastal,Ferrari SF90 Stradale
70.0,unknown,Anglesey Coastal,Ferrari SF90 Stradale
95.1,Vicki Butler Henderson,Anglesey Coastal,Fiat 500 1.4 16v (Mk II)
93.7,Vicki Butler Henderson,Anglesey Coastal,Fiat Panda 1.4 (Mk II)
88.5,Vicki Butler Henderson,Anglesey Coastal,Ford Escort RS Cosworth
92.8,unknown,Anglesey Coastal,Ford Fiesta ST
82.9,Jason Plato,Anglesey Coastal,Ford Focus RS
89.9,Vicki Butler Henderson,Anglesey Coastal,Ford Focus RS
74.23,unknown,Anglesey Coastal,Ford GT (Mk II 656 PS)
82.7,unknown,Anglesey Coastal,Hyundai i20 N (BC3)
77.2,unknown,Anglesey Coastal,Jaguar XE SV Project 8
72.7,unknown,Anglesey Coastal,Lamborghini Huracán STO
76.4,unknown,Anglesey Coastal,Lotus 2-Eleven
82.75,MalcolmFeth,Anglesey Coastal,Lotus Elise Cup 250 (Mk III)
78.5,unknown,Anglesey Coastal,Lotus Emira 3.5
84.9,Tiff Needell,Anglesey Coastal,Lotus Evora
74.71,unknown,Anglesey Coastal,Lotus Exige Cup 430 (Mk III)
82.2,unknown,Anglesey Coastal,Lotus Exige S
91.95,Gemma Viles,Anglesey Coastal,Mazda MX-5 1.5 (Mk IV)
74.5,unknown,Anglesey Coastal,McLaren 570S
72.4,unknown,Anglesey Coastal,McLaren 600LT
72.8,unknown,Anglesey Coastal,McLaren 675LT
71.5,unknown,Anglesey Coastal,McLaren 720S
71.14,Steve Sutcliffe,Anglesey Coastal,McLaren 765LT
71.2,Jethro Bovington,Anglesey Coastal,McLaren P1
73.63,unknown,Anglesey Coastal,Mercedes-Benz AMG GT R
77.0,Dickie Meaden,Anglesey Coastal,Mercedes-Benz AMG GT S
83.6,Jason Plato,Anglesey Coastal,Mercedes-Benz E63 AMG
82.04,Alasdair Meek,Anglesey Coastal,Mini John Cooper Works GP
96.1,Vicki Butler Henderson,Anglesey Coastal,Mini One
85.9,Jason Plato,Anglesey Coastal,Mito Quadrifoglio Verde
81.9,Jason Plato,Anglesey Coastal,Mitsubishi Lancer Evo X
82.57,Jason Plato,Anglesey Coastal,Model Y Dual Motor Long Range
87.2,unknown,Anglesey Coastal,Morgan Aero Coupe
80.5,unknown,Anglesey Coastal,Nissan 370Z Nismo
86.1,Jason Plato,Anglesey Coastal,Nissan 370Z Roadster
76.9,Marino Franchitti,Anglesey Coastal,Nissan GT-R (R35 550 PS)
74.5,Steve Sutcliffe,Anglesey Coastal,Nissan GT-R Nismo (R35)
93.7,Vicki Butler Henderson,Anglesey Coastal,Opel Corsa GSi (D)
86.3,unknown,Anglesey Coastal,Opel Insignia OPC (Mk I)
91.3,unknown,Anglesey Coastal,Opel Lotus Omega/Carlton
84.9,Jason Plato,Anglesey Coastal,Peugeot RCZ GT THP200
