Vehicle_Name,Type,Manufacturer,Model,Country,Introduced_Year,0-100_kph_(s),100-0_(m),Top_Speed_(kph),Curb_Weight_(kg),Wheelbase_(m),Length_(m),Width_(m),Height_(m),Engine,Displacement_(l),Power_(ps),Torque_(Nm),Engine_Layout,Wheel_Drive,Class,Trasmission_Name,Trasmission_Type,N_Trasmission
145 Quadrifoglio 2.0,Car,Alfa Romeo,145 Quadrifoglio 2.0,Italy,,,,,1240.0,,,,,Inline 4 16V Turbo,2.0,155.0,187.0,Front,Front,Compact,5,Other,5.0
190E 2.5-16V Evo II,Car,Mercedes-Benz,190E 2.5-16V Evo II,Germany,1991.0,7.1,40.0,250.0,1388.0,,,,,2.5 16V 4cyl redline 7700rpm,2.5,235.0,245.0,Front,Rear,4-door saloon,5,Other,5.0
208 GTi Peugeot Sport Anniver..,Car,Peugeot,208 GTi Peugeot Sport Anniversary (208 PS),France,2015.0,6.2,35.0,231.0,1177.0,,3.96,1.74,1.46,In-line 4cyl,1.6,208.0,300.0,Front,Front,Compact,Six-speed manual,Manual,
250 GT SWB California Spyder,Car,Ferrari,250 GT SWB California Spyder,Italy,1960.0,,,,,,,,,V12,3.0,280.0,,Front,Rear,Convertible,4 speed manual,Manual,4.0
250 GT SWB Esperimentale,Car,Ferrari,250 GT SWB Esperimentale (2643GT),Italy,1961.0,,,,,,,,,V12,3.0,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
250 GT SWB SEFAC Hot Rod,Car,Ferrari,250 GT SWB SEFAC Hot Rod,Italy,1961.0,,,,,,,,,V12,3.0,293.0,,Front,Rear,Coupe,4 speed manual,Manual,4.0
300C 5.7 HEMI V8 TOURING,Car,Chrysler,300C 5.7 HEMI V8 TOURING,United States,2004.0,,,240.0,1953.0,,,,,V8 n/a,5.7,340.0,525.0,Front,Rear,Estate/wagon,6,Other,6.0
340 America Vignale Berlinetta,Car,Ferrari,340 America Vignale Berlinetta,Italy,,,,,,,,,,V12,4.1,220.0,260.0,Front,Rear,Coupe,5 speed manual,Manual,5.0
340 America Vignale Spyder,Car,Ferrari,340 America Vignale Spyder,Italy,,,,,,,,,,V12,4.1,220.0,260.0,Front,Rear,Convertible,5 speed manual,Manual,5.0
356 A 1600 Convertible D,Car,Porsche,356 A 1600 Convertible D,Germany,,,,161.0,861.0,,,,,B4,1.6,60.0,110.0,Rear,Rear,Convertible,4 speed manual,Manual,4.0
356 B 1600 GS Carrera GTL,Car,Porsche,356 B 1600 GS Carrera GTL (135 PS),Germany,1960.0,8.8,,222.0,,,,,,Boxer 4,1.6,135.0,135.0,Rear,Rear,Coupe,4 speed manual,Manual,4.0
356 B 2000 GS Carrera 2 Coupe,Car,Porsche,356 B 2000 GS Carrera 2 Coupe,Germany,1962.0,,,203.0,915.5,2.1,3.98,1.67,1.32,"Air cooled Flat 4, DOHC, 8v",2.0,132.0,161.0,Rear,Rear,Coupe,4 speed manual,Manual,4.0
356 B 2000 GS Carrera GT,Car,Porsche,"356 B 2000 GS Carrera GT (""Dreikantschaber"")",Germany,1963.0,,,,,,,,,Boxer 4,2.0,,,Rear,Rear,Coupe,4 speed manual,Manual,4.0
430 Scuderia Spider 16M,Car,Ferrari,430 Scuderia Spider 16M,Italy,2009.0,3.7,,320.0,1423.0,2.6,4.51,1.92,1.22,V8,4.3,510.0,470.0,Middle,Rear,Convertible,6,Other,6.0
504 Berline 2.1 GRD/SRD,Car,Peugeot,504 Berline 2.1 GRD/SRD,France,1970.0,,,136.0,,,,,,Inline 4,2.1,59.0,116.0,Front,Rear,4-door saloon,4 speed manual,Manual,4.0
504 Berline 2.3 GLD/GRD,Car,Peugeot,504 Berline 2.3 GLD/GRD,France,,,,134.0,,,,,,Inline 4,2.3,70.0,132.0,Front,Rear,4-door saloon,4 speed manual,Manual,4.0
505 Turbo Injection PTS,Car,Peugeot,505 Turbo Injection PTS,France,,8.0,,217.0,,,,,,Inline 4,2.2,200.0,283.0,Front,Rear,4-door saloon,5 speed manual,Manual,5.0
80,Car,ACR (André Chevalley Racing),80,United Kingdom,,,,324.0,730.0,,,,,Cosworth DFV 3.0L V8,3.0,460.0,,Middle,Rear,Convertible,Hewland 5-speed Manual,Manual,5.0
8C Competizione Spider,Car,Alfa Romeo,8C Competizione Spider,Italy,2009.0,4.5,,306.0,1400.0,,,,,V8,4.7,450.0,470.0,Front,Rear,Convertible,6-Speed,Other,6.0
9-3 2.8T Turbo X Sport Combi,Car,Saab,9-3 2.8T Turbo X Sport Combi,Sweden,2008.0,6.2,,245.0,1792.0,,,,,V6 24V Turbo,2.8,280.0,400.0,Front,All,Estate/wagon,6 speed manual,Manual,6.0
