,Balocco,Le Mans (Bugatti),Nürburgring Nordschleife,Hockenheim Short,Laguna Seca (Post 1988),Top Gear Track,Sachsenring,Circuit De Nevers Magny-Cours Club,Ring Knutstrop (Conf 2),Vairano Handling Course
Lamborghini Huracán STO,156.62,,,,,,,76.89,,
Huracán Performante,158.07,102.49,412.01,65.5,90.0,,89.49,77.17,,69.43
Lamborghini Huracan LP 610-4,160.07,105.06,448.0,67.5,,75.8,92.84,,69.8,71.8
Porsche 918 Spyder,160.17,102.63,417.0,66.3,89.89,,86.77,,,69.54
Gallardo LP570-4 Squadra Corse,160.78,,,68.2,,,,,,71.85
Aventador LP750-4 SV,161.11,107.35,419.73,67.8,,,91.79,,,71.84
Porsche 911 GT3 (992),162.58,,415.34,,,,87.93,77.18,,69.68
Porsche Carrera GT,162.62,,448.71,68.6,,79.8,,,,77.35
Lamborghini Aventador LP700-4,162.91,107.3,445.0,68.6,95.4,76.5,94.84,79.4,71.0,73.86
Maserati MC20,163.19,,,,,76.6,,,,73.08
Porsche 911 GT3 (991),163.22,108.48,445.0,69.2,92.01,,92.97,78.95,,72.88
McLaren MP4-12C,163.46,,448.0,68.7,94.5,76.2,,,,74.81
Murcielago LP 670-4 SV,163.51,,462.0,69.5,,79.0,,,,
Porsche 911 GT2 (997),163.56,,451.0,69.7,,79.5,,,70.8,75.53
Ferrari 458 Italia,163.9,,458.0,69.7,96.22,79.1,94.3,80.16,70.0,75.14
Gallardo LP 570-4 Superleggera,163.99,107.53,458.0,69.2,,80.8,,82.16,69.1,74.28
Nissan GT-R (R35 530 PS),165.0,,444.22,70.0,96.35,77.8,,81.05,,
Gallardo Superleggera,165.0,,466.0,70.9,,,,,71.1,76.17
Porsche 911 Turbo S (991),165.48,108.63,446.0,68.7,95.62,,92.39,80.7,68.1,
Porsche 911 GT3 RS (991),165.78,107.52,440.0,65.8,93.29,76.1,93.34,79.22,,
Porsche 911 GT3 ,165.97,106.82,432.7,67.9,,83.1,91.3,78.85,,
Nissan GT-R Spec-V (R35),166.0,,454.46,,,,,,,
Porsche 911 Turbo S Cabriolet,166.16,,,69.8,,,93.23,,,
Ferrari 430 Scuderia,166.3,,459.0,70.3,,79.7,,,70.2,75.16
Lamborghini Gallardo LP560-4,167.05,,472.0,71.3,,79.5,,,,75.71
Lamborghini Gallardo SE,167.42,,,72.2,,,,,,77.86
BMW M3 Competition,167.98,,,,,,,81.63,,
Lexus LFA,168.52,,458.0,71.0,96.39,82.8,,80.64,,
Porsche 911 GT3 (997),168.67,,462.0,71.7,99.52,,,,71.5,
Nissan GT-R (R35),168.73,111.37,446.7,70.7,100.45,79.7,,81.75,81.9,76.69
Porsche 911 Turbo,169.4,,459.0,68.2,97.8,,91.38,,70.3,
911 Carrera GTS Cabriolet,169.88,,,,,,,,,
Audi E-Tron GT RS,170.1,,,,,,,83.78,,77.61
Audi R8 V10 Plus (Mk II),170.1,107.35,452.0,69.0,94.23,75.7,93.46,81.28,,73.8
Chevrolet Corvette Stingray,170.22,112.16,449.9,71.5,97.83,79.8,92.31,80.66,70.7,75.16
Corvette C7 Stingray Converti..,170.22,,,,,,,,,
Chevrolet Corvette Z06 (C6),170.3,,462.9,71.5,100.9,82.4,,,,79.52
Audi R8 V10 5.2 FSI (Mk I),170.62,113.96,464.0,70.9,100.2,81.6,,82.86,69.9,77.1
BMW M4 GTS,170.81,,447.88,69.6,97.66,,93.17,80.4,,
Porsche Taycan Turbo,171.22,,,,,,,,,
Porsche Panamera Turbo,171.31,,476.0,72.6,,,,84.78,73.6,
Mercedes - AMG A45 S (W177),171.34,,468.8,,,,,,,78.9
Ferrari FF,171.42,,,,,,,,,76.38
Mercedes-Benz SLS AMG,171.6,113.57,460.0,70.8,98.82,81.6,,83.5,71.4,77.06
Porsche 911 Turbo (997),171.64,,458.0,71.9,99.89,,,,,79.96
Porsche Cayman GT4 (981),171.78,111.29,462.0,70.1,97.21,,,80.28,70.0,75.01
KTM X-Bow,171.95,,490.0,70.2,,83.1,,81.2,69.9,
Ford GT (Mk I),172.2,,472.0,,,81.9,,,,79.81
Porsche 911 Carrera GTS,172.23,109.47,443.77,68.0,99.5,,91.61,80.42,,
Lamborghini Urus,172.31,,,,100.9,81.7,,83.26,,76.33
BMW M2 Competition (F87),172.33,114.97,472.36,,100.83,,,82.82,,
Mercedes-Benz AMG GT S,172.52,111.29,453.04,69.6,95.3,77.5,91.89,81.79,70.0,76.46
Dodge Viper SRT-10,172.6,,479.0,73.7,,,,84.45,,79.51
Ferrari California GT,172.65,,476.0,73.5,,,,83.65,,79.58
Audi RS Q8 ,172.78,,,,,82.5,,,,
Audi R8 4.2 FSI Quattro (Mk I),172.78,,,72.7,100.75,84.4,,84.22,73.5,78.46
Porsche 911 Carrera S (991),172.85,111.97,457.9,70.4,99.3,,,82.98,73.8,77.44
CLK 63 Black Series,173.02,,465.0,73.8,,86.0,,,,
Aston Martin V8 Vantage,173.51,,483.0,,112.2,,,,,
Porsche 718 Cayman GTS,173.72,,,71.4,,,,,,
Aston Martin DBS,173.75,,482.0,73.5,,83.9,,,,
GranTurismo MC Stradale,173.98,,,73.0,,83.1,,84.54,,78.83
Porsche 911 Carrera (991),174.0,,482.0,73.1,,,,,,
Porsche 911 Carrera S,174.3,109.78,454.0,69.6,96.44,,93.48,84.57,,75.19
Porsche 911 Carrera 4 (991),174.4,,,72.2,,,,,,77.7
Alfa Romeo 4C,174.43,,484.0,74.0,103.78,84.8,,84.91,73.6,78.84
Maserati GranTurismo S,174.7,117.77,,,,,,,,81.01
Ford Mustang Mach 1,174.88,,478.29,,,,,,,
Aston Martin V12 Vantage,175.0,,,73.2,103.04,86.8,,,,
Porsche Cayman S,175.04,,486.0,73.9,103.0,,,,72.7,
Porsche Cayman GTS (981),175.08,,,72.8,,81.6,,84.21,,
Porsche Cayman S (987),175.09,,,,107.58,86.7,,88.35,76.0,83.45
Porsche Cayman R (987),175.12,,490.0,72.4,101.64,,,,,
Porsche Boxster S,175.18,,,,,,,,,
BMW M2 CS (F87),175.19,112.66,462.99,,,,94.98,,,75.31
BMW M3 (E92),175.22,,485.0,,102.96,86.5,,87.4,75.6,80.1
Porsche 911 Carrera Cabrio,175.37,,,,,,,,,
Audi RS4 Avant (B9),175.43,,479.0,72.6,,,,,,77.25
Chevrolet Corvette C6,175.51,,479.0,,,86.8,,,,81.22
