matrix.txt

|                                 |   Balocco |   Le Mans (Bugatti) |   Nürburgring Nordschleife |   Hockenheim Short |   Laguna Seca (Post 1988) |   Top Gear Track |   Sachsenring |   Circuit De Nevers Magny-Cours Club |   Ring Knutstrop (Conf 2) |   Vairano Handling Course |
|:--------------------------------|----------:|--------------------:|---------------------------:|-------------------:|--------------------------:|-----------------:|--------------:|-------------------------------------:|--------------------------:|--------------------------:|
| Lamborghini Huracán STO         |    156.62 |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                                76.89 |                    nan    |                    nan    |
| Huracán Performante             |    158.07 |              102.49 |                     412.01 |              65.5  |                     90    |           nan    |         89.49 |                                77.17 |                    nan    |                     69.43 |
| Lamborghini Huracan LP 610-4    |    160.07 |              105.06 |                     448    |              67.5  |                    nan    |            75.8  |         92.84 |                               nan    |                     69.8  |                     71.8  |
| Porsche 918 Spyder              |    160.17 |              102.63 |                     417    |              66.3  |                     89.89 |           nan    |         86.77 |                               nan    |                    nan    |                     69.54 |
| Gallardo LP570-4 Squadra Corse  |    160.78 |              nan    |                     nan    |              68.2  |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                     71.85 |
| Aventador LP750-4 SV            |    161.11 |              107.35 |                     419.73 |              67.8  |                    nan    |           nan    |         91.79 |                               nan    |                    nan    |                     71.84 |
| Porsche 911 GT3 (992)           |    162.58 |              nan    |                     415.34 |             nan    |                    nan    |           nan    |         87.93 |                                77.18 |                    nan    |                     69.68 |
| Porsche Carrera GT              |    162.62 |              nan    |                     448.71 |              68.6  |                    nan    |            79.8  |        nan    |                               nan    |                    nan    |                     77.35 |
| Lamborghini Aventador LP700-4   |    162.91 |              107.3  |                     445    |              68.6  |                     95.4  |            76.5  |         94.84 |                                79.4  |                     71    |                     73.86 |
| Maserati MC20                   |    163.19 |              nan    |                     nan    |             nan    |                    nan    |            76.6  |        nan    |                               nan    |                    nan    |                     73.08 |
| Porsche 911 GT3 (991)           |    163.22 |              108.48 |                     445    |              69.2  |                     92.01 |           nan    |         92.97 |                                78.95 |                    nan    |                     72.88 |
| McLaren MP4-12C                 |    163.46 |              nan    |                     448    |              68.7  |                     94.5  |            76.2  |        nan    |                               nan    |                    nan    |                     74.81 |
| Murcielago LP 670-4 SV          |    163.51 |              nan    |                     462    |              69.5  |                    nan    |            79    |        nan    |                               nan    |                    nan    |                    nan    |
| Porsche 911 GT2 (997)           |    163.56 |              nan    |                     451    |              69.7  |                    nan    |            79.5  |        nan    |                               nan    |                     70.8  |                     75.53 |
| Ferrari 458 Italia              |    163.9  |              nan    |                     458    |              69.7  |                     96.22 |            79.1  |         94.3  |                                80.16 |                     70    |                     75.14 |
| Gallardo LP 570-4 Superleggera  |    163.99 |              107.53 |                     458    |              69.2  |                    nan    |            80.8  |        nan    |                                82.16 |                     69.1  |                     74.28 |
| Nissan GT-R (R35 530 PS)        |    165    |              nan    |                     444.22 |              70    |                     96.35 |            77.8  |        nan    |                                81.05 |                    nan    |                    nan    |
| Gallardo Superleggera           |    165    |              nan    |                     466    |              70.9  |                    nan    |           nan    |        nan    |                               nan    |                     71.1  |                     76.17 |
| Porsche 911 Turbo S (991)       |    165.48 |              108.63 |                     446    |              68.7  |                     95.62 |           nan    |         92.39 |                                80.7  |                     68.1  |                    nan    |
| Porsche 911 GT3 RS (991)        |    165.78 |              107.52 |                     440    |              65.8  |                     93.29 |            76.1  |         93.34 |                                79.22 |                    nan    |                    nan    |
| Porsche 911 GT3                 |    165.97 |              106.82 |                     432.7  |              67.9  |                    nan    |            83.1  |         91.3  |                                78.85 |                    nan    |                    nan    |
| Nissan GT-R Spec-V (R35)        |    166    |              nan    |                     454.46 |             nan    |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                    nan    |
| Porsche 911 Turbo S Cabriolet   |    166.16 |              nan    |                     nan    |              69.8  |                    nan    |           nan    |         93.23 |                               nan    |                    nan    |                    nan    |
| Ferrari 430 Scuderia            |    166.3  |              nan    |                     459    |              70.3  |                    nan    |            79.7  |        nan    |                               nan    |                     70.2  |                     75.16 |
| Lamborghini Gallardo LP560-4    |    167.05 |              nan    |                     472    |              71.3  |                    nan    |            79.5  |        nan    |                               nan    |                    nan    |                     75.71 |
| Lamborghini Gallardo SE         |    167.42 |              nan    |                     nan    |              72.2  |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                     77.86 |
| BMW M3 Competition              |    167.98 |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                                81.63 |                    nan    |                    nan    |
| Lexus LFA                       |    168.52 |              nan    |                     458    |              71    |                     96.39 |            82.8  |        nan    |                                80.64 |                    nan    |                    nan    |
| Porsche 911 GT3 (997)           |    168.67 |              nan    |                     462    |              71.7  |                     99.52 |           nan    |        nan    |                               nan    |                     71.5  |                    nan    |
| Nissan GT-R (R35)               |    168.73 |              111.37 |                     446.7  |              70.7  |                    100.45 |            79.7  |        nan    |                                81.75 |                     81.9  |                     76.69 |
| Porsche 911 Turbo               |    169.4  |              nan    |                     459    |              68.2  |                     97.8  |           nan    |         91.38 |                               nan    |                     70.3  |                    nan    |
| 911 Carrera GTS Cabriolet       |    169.88 |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                    nan    |
| Audi E-Tron GT RS               |    170.1  |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                                83.78 |                    nan    |                     77.61 |
| Audi R8 V10 Plus (Mk II)        |    170.1  |              107.35 |                     452    |              69    |                     94.23 |            75.7  |         93.46 |                                81.28 |                    nan    |                     73.8  |
| Chevrolet Corvette Stingray     |    170.22 |              112.16 |                     449.9  |              71.5  |                     97.83 |            79.8  |         92.31 |                                80.66 |                     70.7  |                     75.16 |
| Corvette C7 Stingray Converti.. |    170.22 |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                    nan    |
| Chevrolet Corvette Z06 (C6)     |    170.3  |              nan    |                     462.9  |              71.5  |                    100.9  |            82.4  |        nan    |                               nan    |                    nan    |                     79.52 |
| Audi R8 V10 5.2 FSI (Mk I)      |    170.62 |              113.96 |                     464    |              70.9  |                    100.2  |            81.6  |        nan    |                                82.86 |                     69.9  |                     77.1  |
| BMW M4 GTS                      |    170.81 |              nan    |                     447.88 |              69.6  |                     97.66 |           nan    |         93.17 |                                80.4  |                    nan    |                    nan    |
| Porsche Taycan Turbo            |    171.22 |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                    nan    |
