report.txt

####################################################################################################################################

-Laps report:
--Laps count: 14803

######################

--Tracks laptimes stats:

| Track_Name                                                      |   Lap_Counter |   Lap_Mean |   Lap_Max |   Lap_Min |
|:----------------------------------------------------------------|--------------:|-----------:|----------:|----------:|
| Balocco                                                         |           299 |   181.884  |    196.39 |    156.62 |
| Vairano Handling Course                                         |           294 |    80.264  |     88.56 |     67.68 |
| Circuit De La Sarthe (1932 - 1971)                              |           284 |   250.312  |    292.6  |    194.9  |
| Nürburgring Nordschleife                                        |           281 |   461.812  |    493    |    390.7  |
| Hockenheim Short                                                |           279 |    71.2204 |     74    |     63.8  |
| Top Gear Track                                                  |           278 |    87.1331 |    109.1  |     70.6  |
| Autozeitung Test Track                                          |           274 |    99.9865 |    103.9  |     89.6  |
| Circuit De Nevers Magny-Cours Club                              |           254 |    85.1632 |    102.05 |     73.81 |
| Motortrend Figure-8                                             |           245 |    23.6418 |     24.6  |     21.8  |
| Hockenheim Gp                                                   |           213 |   102.389  |    120    |     71.21 |
| Tsukuba                                                         |           208 |    65.0522 |     67.59 |     58.25 |
| Laguna Seca (Post 1988)                                         |           197 |   100.153  |    132.67 |     70.1  |
| Contidrom (3.3 Km)                                              |           192 |    98.5021 |    118.9  |     86    |
| Willow Springs                                                  |           188 |    96.4796 |    121.7  |     81.08 |
| Spa Francorchamps                                               |           185 |   116.059  |    176.91 |    101.25 |
| Hungaroring                                                     |           171 |    87.3291 |    153.9  |     73.45 |
| Monza                                                           |           162 |    86.4631 |    157    |     78.89 |
| Winton (National Circuit)                                       |           162 |   102.68   |    112.9  |     85.6  |
| Bahrain International Circuit                                   |           158 |    92.7435 |    139    |     87.26 |
| Virginia International Raceway Grand East Course (Post 01/2014) |           157 |   178.189  |    200.8  |    154.9  |
| Oschersleben                                                    |           154 |   111.322  |    128.44 |     95.86 |
| Bedford Autodrome West Circuit (06/2008 - 05/2015)              |           150 |    87.458  |     97.9  |     70.8  |
| Ring Knutstrop (Conf 2)                                         |           149 |    75.9493 |     92.6  |     63.05 |
| Silverstone Gp (Post 2011)                                      |           148 |    89.3836 |    100.79 |     84.3  |
| Interlagos                                                      |           144 |    77.8181 |    135.69 |     67.28 |
| Serres Racing Circuit                                           |           144 |    98.1142 |    107.2  |     80.46 |
| Red Bull Ring                                                   |           141 |    65.4569 |     69.9  |     62.94 |
| Wakefield Park                                                  |           140 |    72.0261 |     81.53 |     58.2  |
| Autocar Dry Handling Track                                      |           138 |    74.0467 |     92.2  |     63.6  |
| Suzuka                                                          |           132 |   104.575  |    170    |     87.06 |
| Willow Springs - Streets Of Willow                              |           131 |    86.9754 |    100.05 |     76.45 |
| Consuma Hill Climb                                              |           130 |   539.76   |    698.8  |    420.9  |
| Circuit Of The Americas                                         |           130 |    96.128  |    114.81 |     92.03 |
| Inta                                                            |           127 |    73.0162 |     81.39 |     67.26 |
| Baku City Circuit                                               |           126 |   103.559  |    111.67 |    100.49 |
| Virginia International Raceway Grand East Course (Pre 01/2014)  |           126 |   187.461  |    209.3  |    165.63 |
| Autódromo Hermanos Rodríguez Gp                                 |           125 |    78.419  |     92.76 |     74.76 |
| Monaco (Post 2014)                                              |           125 |    73.1413 |     82.47 |     70.17 |
| Autocar Wet Handling Track                                      |           123 |    74.7033 |     96.2  |     64.3  |
| Sochi Autodrom                                                  |           123 |    95.6727 |    101.71 |     91.3  |
| Mendig Afb Circuit                                              |           120 |   114.609  |    138.4  |    101    |
| Barcelona Catalunya F1 (2007-2020)                              |           116 |    81.3147 |    105.87 |     75.41 |
| Anglesey Coastal                                                |           115 |    80.2393 |     96.1  |     66.94 |
| Eurospeedway Lausitz                                            |           108 |    96.4934 |    108.39 |     85.23 |
| Circuit Gilles Villeneuve                                       |           105 |    74.0355 |     81.96 |     70.24 |
| Albert Park                                                     |           105 |    83.6704 |     89.64 |     77.87 |
| Sachsenring                                                     |           103 |    92.367  |     95.18 |     85.19 |
| Marina Bay                                                      |           103 |   103.179  |    117.53 |     96.01 |
| Killarney                                                       |           102 |    87.7636 |     97.95 |     77.9  |
| Yas Marina (Pre 2021)                                           |           102 |    97.9651 |    102.64 |     94.78 |
| Velo Citta (1.68 Km)                                            |           101 |    68.6443 |     81.07 |     54.63 |
| Le Mans (Bugatti)                                               |            99 |   110.949  |    119.1  |     98.48 |
| Shanghai International Circuit                                  |            95 |    96.492  |    139.88 |     91.09 |
| Mireval                                                         |            92 |    98.2045 |    116.21 |     87.56 |
| Anglesey National                                               |            92 |    65.5141 |     75.2  |     59.2  |
| Rockingham National                                             |            90 |    86.7518 |    152.09 |     74.2  |
| Sportauto Wet Handling Test                                     |            85 |    94.4094 |    109.8  |     87.2  |
| Ring Knutstorp                                                  |            84 |    75.1751 |     90.5  |     61.1  |
| Nürburgring Gp Sprint                                           |            83 |   103.336  |    179.1  |     88.27 |
| Jarama                                                          |            82 |   118.521  |    131.63 |     97.77 |
| Circuit Paul Ricard (Post 2018)                                 |            82 |    91.959  |     98.98 |     88.32 |
| Bedford Autodrome West Circuit (2004 - 06/2008)                 |            81 |    89.1504 |    105.8  |     77.1  |
| Zhejiang Circuit                                                |            79 |   104.232  |    127    |     86.18 |
| Llandow                                                         |            77 |    46.8058 |     55.2  |     42.29 |
| Phillip Island                                                  |            76 |   117.062  |    132.98 |     98.02 |
| Kyalami                                                         |            70 |   130.911  |    144.3  |    116.5  |
| Imola (Post 2008)                                               |            69 |    82.2684 |    130.8  |     73.61 |
| Linas-Montlhery (9Km)                                           |            66 |   284.275  |    359    |    229.6  |
| Fuji Speedway (Post 2005)                                       |            66 |   114.013  |    136.08 |     82.64 |
| Algarve International Circuit Portimao (Grand Prix)             |            61 |    91.3608 |    130.7  |     76.47 |
| Raceland                                                        |            60 |    58.791  |     63.42 |     53.35 |
| Madras Motor Race Track                                         |            59 |   117.124  |    123.4  |    107.01 |
| Goodwood                                                        |            58 |    92.6755 |    108.6  |     75.03 |
| Circuit De Nevers Magny-Cours Gp                                |            58 |   115.842  |    131.15 |    102.99 |
| Mortefontaine                                                   |            58 |    97.8619 |    122.19 |     82.86 |
| Smolensk Ring                                                   |            57 |   111.118  |    132.2  |     95.1  |
| Goodwood Hill Climb                                             |            56 |    58.2223 |     72.51 |     39.08 |
| Buttonwillow Configuration 13                                   |            54 |   116.686  |    134.77 |     99.11 |
| Nürburgring Nordschleife Full                                   |            54 |   477.858  |    687.5  |    395.18 |
| Pannonia Ring                                                   |            52 |   131.903  |    175.8  |    111.11 |
| Sugo                                                            |            51 |   103.281  |    132.03 |     93.76 |
| Motovision Handling Course                                      |            51 |    19.8292 |     20.91 |     18.43 |
| Gunsai                                                          |            50 |    27.745  |     30.41 |     25.77 |
| Grattan Raceway                                                 |            49 |    91.591  |     99.58 |     82.09 |
| Blyton Park Circuit                                             |            49 |    65.8386 |     79.2  |     56.15 |
| Anglesey International Gp                                       |            47 |    99.5281 |    121.4  |     91    |
| Contidrom (3.63 Km)                                             |            47 |   102.764  |    115.6  |     89.6  |
| Linas-Montlhery                                                 |            47 |   180.502  |    206.8  |    149.9  |
| Castle Combe (Pre 1999)                                         |            47 |    79.6172 |     94.81 |     69.37 |
| Istanbul Park                                                   |            47 |    99.9187 |    180.83 |     82.87 |
| Castle Combe                                                    |            46 |    83.573  |    118    |     70.7  |
| Motown Mile                                                     |            46 |    56.2333 |     62.8  |     51.17 |
| Anneau Du Rhin Short                                            |            46 |    61.4976 |     67.7  |     56.03 |
| Adm Miachkovo                                                   |            44 |   119.363  |    132.5  |    108.77 |
| Sepang                                                          |            44 |    95.4525 |    163    |     90.07 |
| Ferte Gaucher                                                   |            44 |   126.79   |    142.5  |    112.66 |
| Circuit De La Sarthe                                            |            43 |   211.598  |    256.13 |    194.79 |
| Yas Marina (Post 2021)                                          |            42 |    86.7269 |    140.98 |     82.11 |
| Franciacorta                                                    |            42 |    86.1569 |     94.72 |     75.59 |
| Anglesey                                                        |            42 |    54.1424 |     59.06 |     48.82 |
| Contidrom (3.8 Km)                                              |            41 |    94.2017 |    104.1  |     85.72 |
| Gotland Ring (Northern Loop)                                    |            41 |    99.6837 |    110.2  |     87.9  |
| Zolder                                                          |            41 |   110.552  |    149.94 |     99.13 |
| Zandvoort Gp (Post 2019)                                        |            40 |    70.7893 |     73.35 |     68.88 |
| Barcelona Catalunya F1 (Post 2018)                              |            40 |    79.2745 |     85.93 |     76.74 |
| Streets Of Willow (0.96 Mile)                                   |            39 |    69.0779 |     99.94 |     60.41 |
| Bruntingthorpe                                                  |            39 |    83.2956 |     90.3  |     72.9  |
| Cadwell Park (Full Circuit)                                     |            39 |   102.37   |    110.7  |     93.79 |
| Jeddah Corniche Circuit                                         |            39 |    89.0387 |     91.82 |     87.51 |
| Fiorano                                                         |            38 |    86.55   |    100.6  |     79    |
| Kakucs Ring                                                     |            38 |    50.8876 |     55.2  |     47.09 |
| Megara                                                          |            36 |    73.8594 |     82.6  |     61.29 |
| Toronto Motorsports Park                                        |            36 |    85.2914 |    103    |     70.06 |
| Ncm Motorsports Park Grand Full                                 |            36 |   137.933  |    158.63 |    122.83 |
| Grand Tour Eboladrome                                           |            36 |    84.9444 |     99.7  |     72.9  |
| Dunnville Autodrome                                             |            36 |    73.5381 |     80.8  |     67.52 |
| Blyton Park Outer Circuit                                       |            35 |    72.3086 |     75.6  |     66.4  |
| Nürburgring Gp (5.15 Km)                                        |            34 |   104.426  |    148.23 |     85.27 |
| Luk Driving Center                                              |            34 |    72.2209 |    122.94 |     64.82 |
| Rockingham International Super Sportscar                        |            34 |    94.8035 |    104.52 |     88.3  |
| Millbrook Handling Circuit                                      |            33 |    46.2115 |     52.9  |     41.2  |
| Brands Hatch (Indy Circuit)                                     |            33 |    55.7421 |     63.85 |     50.52 |
| Marcoussis                                                      |            32 |    87.1206 |    105.46 |     78.54 |
| Queensland Raceway Sprint Circuit                               |            31 |    59.401  |     64.74 |     54.31 |
| Buddh International Circuit Autox                               |            30 |    74.5333 |     83.4  |     63.1  |
| Silverstone (National Circuit)                                  |            29 |    70.6831 |    104.2  |     58.24 |
| Kyalami (New)                                                   |            28 |   121.837  |    138.5  |    103    |
| Camden Airport (Pre 10/2010)                                    |            28 |    76.3157 |    151.46 |     66.92 |
| Spring Mountain (Radical Loop Section)                          |            27 |    83.7211 |     92.2  |     75.15 |
| Nihonkai Maze                                                   |            26 |    73.8904 |     87.86 |     63.45 |
| Mugello                                                         |            26 |    88.9092 |    143    |     75.14 |
| Thunderhill Park West                                           |            25 |    87.6332 |    100.91 |     80    |
| Gingerman Raceway                                               |            25 |    99.8084 |    106.58 |     86.7  |
| Oulton Park (Full Circuit)                                      |            24 |   120.735  |    133    |    105    |
| Bedford Autodrome West Circuit (Pre 2004)                       |            24 |    84.4746 |     93.9  |     67.29 |
| Donington Park National                                         |            24 |    80.9796 |     91.7  |     72.41 |
| Silverstone                                                     |            24 |   138.837  |    174.81 |    128.1  |
| Thunderhill Park East                                           |            23 |   130.66   |    140.3  |    116.84 |
| Haute Saintonge                                                 |            23 |    64.0883 |     68.42 |     59.78 |
| Nelson Ledges Raceway                                           |            22 |    79.4709 |     85    |     66.21 |
| Circuit De La Sarthe (1979-1985)                                |            22 |   232.825  |    313.06 |    209.7  |
| Contidrom Handling Track (1.9 Km)                               |            22 |    78.2305 |     88.5  |     69.6  |
| Bahrain Outer Circuit                                           |            21 |    54.1848 |     55.43 |     53.38 |
| Fuji Raceway                                                    |            21 |   111.96   |    128.96 |    105.82 |
| Losail International Circuit                                    |            21 |    84.9543 |    136    |     80.83 |
| Mira Dry Handling Track                                         |            21 |    46.1819 |     72    |     40.66 |
